date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,is_renovated
2014-10-13,221900.0,3,1.0,5650,1.0,0.0,3,7,0.0,1955,0.0,98178,0.0
2014-12-09,538000.0,3,2.25,7242,2.0,0.0,3,7,400.0,1951,1991.0,98125,1.0
2015-02-25,180000.0,2,1.0,10000,1.0,0.0,3,6,0.0,1933,0.0,98028,0.0
2014-12-09,604000.0,4,3.0,5000,1.0,0.0,5,7,910.0,1965,0.0,98136,0.0
2015-02-18,510000.0,3,2.0,8080,1.0,0.0,3,8,0.0,1987,0.0,98074,0.0
2014-05-12,1230000.0,4,4.5,101930,1.0,0.0,3,11,1530.0,2001,0.0,98053,0.0
2014-06-27,257500.0,3,2.25,6819,2.0,0.0,3,7,0.0,1995,0.0,98003,0.0
2015-01-15,291850.0,3,1.5,9711,1.0,0.0,3,7,0.0,1963,0.0,98198,0.0
2015-04-15,229500.0,3,1.0,7470,1.0,0.0,3,7,730.0,1960,0.0,98146,0.0
2015-03-12,323000.0,3,2.5,6560,2.0,0.0,3,7,0.0,2003,0.0,98038,0.0
2015-04-03,662500.0,3,2.5,9796,1.0,0.0,3,8,1700.0,1965,0.0,98007,0.0
2014-05-27,468000.0,2,1.0,6000,1.0,0.0,4,7,300.0,1942,0.0,98115,0.0
2014-05-28,310000.0,3,1.0,19901,1.5,0.0,4,7,0.0,1927,0.0,98028,0.0
2014-10-07,400000.0,3,1.75,9680,1.0,0.0,4,7,0.0,1977,0.0,98074,0.0
2015-03-12,530000.0,5,2.0,4850,1.5,0.0,3,7,0.0,1900,0.0,98107,0.0
2015-01-24,650000.0,4,3.0,5000,2.0,0.0,3,9,970.0,1979,0.0,98126,0.0
2014-07-31,395000.0,3,2.0,14040,2.0,0.0,3,7,0.0,1994,0.0,98019,0.0
2014-05-29,485000.0,4,1.0,4300,1.5,0.0,4,7,0.0,1916,0.0,98103,0.0
2014-12-05,189000.0,2,1.0,9850,1.0,0.0,4,7,0.0,1921,0.0,98002,0.0
2015-04-24,230000.0,3,1.0,9774,1.0,0.0,4,7,0.0,1969,0.0,98003,0.0
2014-05-14,385000.0,4,1.75,4980,1.0,0.0,4,7,760.0,1947,0.0,98133,0.0
2014-08-26,2000000.0,3,2.75,44867,1.0,0.0,3,9,720.0,1968,0.0,98040,0.0
2014-07-03,285000.0,5,2.5,6300,2.0,0.0,3,8,0.0,1995,0.0,98092,0.0
2014-05-16,252700.0,2,1.5,9643,1.0,0.0,3,7,0.0,1985,0.0,98030,0.0
2014-11-20,329000.0,3,2.25,6500,2.0,0.0,4,8,0.0,1985,0.0,98030,0.0
2014-11-03,233000.0,3,2.0,4697,1.5,0.0,5,6,0.0,1941,0.0,98002,0.0
2014-06-26,937000.0,3,1.75,2691,2.0,0.0,3,8,700.0,1915,0.0,98119,0.0
2014-12-01,667000.0,3,1.0,1581,1.5,0.0,5,8,0.0,1909,0.0,98112,0.0
