price,sqft_living,sqft_lot,sqft_basement,yr_built
221900.0,1180,5650,0.0,1955
538000.0,2570,7242,400.0,1951
180000.0,770,10000,0.0,1933
510000.0,1680,8080,0.0,1987
257500.0,1715,6819,0.0,1995
291850.0,1060,9711,0.0,1963
323000.0,1890,6560,0.0,2003
468000.0,1160,6000,300.0,1942
400000.0,1370,9680,0.0,1977
189000.0,1200,9850,0.0,1921
230000.0,1250,9774,0.0,1969
285000.0,2270,6300,0.0,1995
252700.0,1070,9643,0.0,1985
329000.0,2450,6500,0.0,1985
233000.0,1710,4697,0.0,1941
719000.0,2570,7173,0.0,2005
580500.0,2320,3980,0.0,2003
535000.0,1090,3000,0.0,1929
240000.0,1220,8075,330.0,1969
605000.0,2620,7553,0.0,1996
625000.0,2570,5520,0.0,2000
685000.0,1570,2280,0.0,1922
309000.0,1280,9656,360.0,1959
488000.0,3160,13603,0.0,2003
210490.0,990,8528,0.0,1966
785000.0,2290,13416,0.0,1981
450000.0,1250,5963,0.0,1953
228000.0,1190,9199,0.0,1955
600000.0,1410,4080,410.0,1950
292500.0,2250,4495,0.0,2008
301000.0,2420,4750,0.0,2003
430000.0,1850,9976,0.0,1991
289000.0,1260,8400,0.0,1954
505000.0,2519,8690,0.0,1973
425000.0,1660,6000,550.0,1979
287000.0,2240,4648,0.0,2005
204000.0,1000,12070,0.0,1968
325000.0,1260,5612,0.0,1972
360000.0,2380,5000,0.0,2005
480000.0,1040,5060,0.0,1941
410000.0,1410,5060,500.0,1956
390000.0,2350,5100,0.0,2003
360000.0,1900,5889,0.0,1992
356000.0,1680,8712,0.0,1964
315000.0,960,6634,0.0,1952
305000.0,2660,8400,0.0,1961
215000.0,1610,2040,0.0,1979
243500.0,1980,7403,0.0,1988
153000.0,1200,10500,0.0,1962
430000.0,1580,5000,290.0,1939
700000.0,1580,5000,290.0,1939
199000.0,1160,6400,0.0,1975
555000.0,1980,3478,540.0,1929
460000.0,1670,4005,500.0,1939
188500.0,1240,2493,0.0,1985
470000.0,2030,12342,0.0,1942
597750.0,2310,9624,0.0,1984
272500.0,1540,12600,0.0,1980
205425.0,880,6780,0.0,1945
171800.0,1570,9600,0.0,1950
535000.0,1610,2982,0.0,1925
391500.0,1450,9132,0.0,1987
395000.0,770,6000,0.0,1953
445000.0,2100,4400,380.0,1924
770000.0,2910,10204,0.0,1990
445000.0,2100,8201,480.0,1967
430000.0,2070,4310,0.0,2004
212000.0,1060,7875,0.0,1986
660500.0,2010,9603,570.0,1986
453246.0,2010,2287,620.0,2014
675000.0,2140,2278,0.0,2005
382500.0,1190,4440,0.0,1981
665000.0,1110,3200,0.0,1925
205000.0,1610,8579,600.0,1962
420000.0,1060,8097,120.0,1923
511000.0,1430,3455,450.0,1947
532170.0,1360,3090,0.0,1990
560000.0,1110,5000,0.0,1947
282950.0,1250,8200,0.0,1954
350000.0,700,5100,0.0,1942
215000.0,1180,7669,0.0,1967
320000.0,1760,11180,0.0,1968
438000.0,1780,9660,0.0,1962
370000.0,1580,7000,400.0,1976
807100.0,2680,4499,0.0,1999
371500.0,1370,8336,0.0,1964
272000.0,2160,7140,490.0,1978
313000.0,1340,7912,0.0,1955
673000.0,2590,8190,0.0,1980
330000.0,1350,8220,290.0,1949
260000.0,1670,5797,0.0,1988
589000.0,2440,9600,0.0,1961
163500.0,1050,3419,0.0,1996
269000.0,1490,10000,390.0,1969
560000.0,1900,8744,0.0,1987
305000.0,1650,9480,430.0,1977
166950.0,1190,8820,0.0,1959
799000.0,2140,9897,0.0,1959
230000.0,1060,10228,0.0,1948
256883.0,1690,5025,0.0,2003
465000.0,2150,4084,0.0,2007
210000.0,860,11725,0.0,1943
470000.0,1010,5000,0.0,1952
226500.0,1300,7370,400.0,1976
274250.0,910,8450,0.0,1962
677900.0,2440,4587,0.0,2010
180250.0,900,9600,0.0,1941
320000.0,1550,7579,0.0,1993
625504.0,1270,1566,210.0,2014
592500.0,2240,12032,0.0,1983
477000.0,1720,6270,0.0,1978
445838.0,2250,5692,0.0,2000
467000.0,1320,10800,0.0,1947
686000.0,2760,6440,0.0,1999
279950.0,1750,9750,400.0,1961
328000.0,2020,8379,0.0,1994
390000.0,1250,7500,0.0,1942
479950.0,1510,6516,0.0,2005
264950.0,1720,9753,600.0,1978
516500.0,1480,4729,0.0,2004
213000.0,1000,10200,0.0,1961
225000.0,1430,8505,0.0,1968
210000.0,830,6000,0.0,1940
455000.0,1430,5000,0.0,1925
225000.0,1300,8316,0.0,1954
363000.0,2740,11872,0.0,1990
181000.0,720,5120,0.0,1954
250000.0,2010,7312,0.0,1976
260000.0,1810,7209,570.0,1978
349500.0,1400,3538,600.0,1953
245000.0,1730,7442,0.0,1987
592500.0,1420,9191,0.0,1928
315000.0,1580,11455,380.0,1974
255000.0,1230,10170,0.0,1979
693000.0,2460,4425,0.0,2006
237000.0,1270,8470,0.0,1960
425000.0,770,5040,0.0,1930
369900.0,760,10079,0.0,1936
290000.0,1700,7280,0.0,1988
285000.0,1120,10701,0.0,1954
415000.0,1070,4500,0.0,1937
436000.0,1040,7538,0.0,1939
210000.0,1700,11390,0.0,1967
236000.0,1300,5898,0.0,1961
365000.0,2653,4510,0.0,2006
170000.0,860,5265,0.0,1931
370000.0,2720,8666,0.0,1992
405000.0,1670,6720,530.0,1980
360000.0,2160,9528,0.0,1992
265000.0,1320,8959,0.0,1993
446500.0,2650,7286,0.0,1990
267500.0,1590,11914,500.0,1957
335000.0,2440,7632,0.0,1998
208633.0,2040,3810,0.0,2006
550000.0,1800,7750,400.0,1965
610750.0,2180,7297,0.0,1984
305000.0,1950,7700,600.0,1979
268750.0,800,8775,0.0,1943
819900.0,3150,7119,0.0,2013
230000.0,1450,11204,0.0,2003
240000.0,1510,10248,0.0,1969
232000.0,1240,12092,280.0,1922
