price,sqft_living,sqft_lot,sqft_basement,yr_built
221900.0,1180,5650.0,0.0,1955
538000.0,2570,7242.0,400.0,1951
180000.0,770,10000.0,0.0,1933
604000.0,1960,5000.0,910.0,1965
510000.0,1680,8080.0,0.0,1987
450000.0,5420,7618.5,1530.0,2001
257500.0,1715,6819.0,0.0,1995
291850.0,1060,9711.0,0.0,1963
229500.0,1780,7470.0,730.0,1960
323000.0,1890,6560.0,0.0,2003
662500.0,3560,9796.0,1700.0,1965
468000.0,1160,6000.0,300.0,1942
310000.0,1430,7618.5,0.0,1927
400000.0,1370,9680.0,0.0,1977
530000.0,1810,4850.0,0.0,1900
650000.0,2950,5000.0,970.0,1979
395000.0,1890,7618.5,0.0,1994
485000.0,1600,4300.0,0.0,1916
189000.0,1200,9850.0,0.0,1921
230000.0,1250,9774.0,0.0,1969
385000.0,1620,4980.0,760.0,1947
450000.0,3050,7618.5,720.0,1968
285000.0,2270,6300.0,0.0,1995
252700.0,1070,9643.0,0.0,1985
329000.0,2450,6500.0,0.0,1985
233000.0,1710,4697.0,0.0,1941
450000.0,2450,2691.0,700.0,1915
667000.0,1400,1581.0,0.0,1909
438000.0,1520,6380.0,730.0,1948
450000.0,2570,7173.0,0.0,2005
580500.0,2320,3980.0,0.0,2003
280000.0,1190,1265.0,0.0,2005
687500.0,2330,5000.0,820.0,1929
535000.0,1090,3000.0,0.0,1929
322500.0,2060,6659.0,780.0,1981
696000.0,2300,3060.0,790.0,1930
550000.0,1660,7618.5,730.0,1933
640000.0,2360,6000.0,0.0,1904
240000.0,1220,8075.0,330.0,1969
605000.0,2620,7553.0,0.0,1996
625000.0,2570,5520.0,0.0,2000
450000.0,4220,7618.5,1620.0,1984
450000.0,3595,5639.0,0.0,2014
685000.0,1570,2280.0,0.0,1922
309000.0,1280,9656.0,360.0,1959
488000.0,3160,7618.5,0.0,2003
210490.0,990,8528.0,0.0,1966
450000.0,2290,7618.5,0.0,1981
450000.0,1250,5963.0,0.0,1953
450000.0,2753,7618.5,588.0,1953
228000.0,1190,9199.0,0.0,1955
345000.0,3150,9134.0,1510.0,1966
600000.0,1410,4080.0,410.0,1950
585000.0,1980,8550.0,990.0,1981
450000.0,2730,6000.0,600.0,1927
450000.0,2830,5000.0,0.0,1995
292500.0,2250,4495.0,0.0,2008
301000.0,2420,4750.0,0.0,2003
450000.0,3250,7618.5,0.0,1968
430000.0,1850,9976.0,0.0,1991
650000.0,2150,7618.5,560.0,1959
289000.0,1260,8400.0,0.0,1954
505000.0,2519,8690.0,0.0,1973
549000.0,1540,1044.0,0.0,2014
425000.0,1660,6000.0,550.0,1979
317625.0,2770,3809.0,1000.0,1925
450000.0,2720,11049.0,0.0,1989
287000.0,2240,4648.0,0.0,2005
204000.0,1000,12070.0,0.0,1968
450000.0,3200,7618.5,1600.0,1965
450000.0,4770,7618.5,1700.0,1973
325000.0,1260,5612.0,0.0,1972
571000.0,2750,7807.0,500.0,1916
360000.0,2380,5000.0,0.0,2005
349000.0,1790,7618.5,700.0,1965
450000.0,3430,7618.5,1040.0,1986
380000.0,1760,7300.0,880.0,1956
480000.0,1040,5060.0,0.0,1941
410000.0,1410,5060.0,500.0,1956
450000.0,3450,7618.5,0.0,2002
390000.0,2350,5100.0,0.0,2003
360000.0,1900,5889.0,0.0,1992
355000.0,2020,6720.0,1010.0,1948
356000.0,1680,8712.0,0.0,1964
315000.0,960,6634.0,0.0,1952
450000.0,2140,3600.0,240.0,1925
305000.0,2660,8400.0,0.0,1961
461000.0,2770,6278.0,790.0,2006
215000.0,1610,2040.0,0.0,1979
335000.0,1030,1066.0,265.0,2006
243500.0,1980,7403.0,0.0,1988
450000.0,3520,6353.0,0.0,2001
153000.0,1200,10500.0,0.0,1962
430000.0,1580,5000.0,290.0,1939
700000.0,1580,5000.0,290.0,1939
450000.0,3300,10250.0,910.0,1946
247500.0,1960,7618.5,0.0,1967
199000.0,1160,6400.0,0.0,1975
314000.0,1810,7618.5,600.0,1980
437500.0,2320,7618.5,0.0,1992
450000.0,2070,7618.5,800.0,1910
555000.0,1980,3478.0,540.0,1929
699950.0,2190,7618.5,0.0,1983
450000.0,2920,8113.0,0.0,1950
290000.0,1210,7618.5,0.0,1954
375000.0,2340,10005.0,880.0,1978
460000.0,1670,4005.0,500.0,1939
188500.0,1240,2493.0,0.0,1985
680000.0,3140,7618.5,0.0,1991
470000.0,2030,7618.5,0.0,1942
597750.0,2310,9624.0,0.0,1984
570000.0,1260,3328.0,560.0,1905
272500.0,1540,7618.5,0.0,1980
329950.0,2080,5969.0,1000.0,1971
480000.0,3230,7618.5,710.0,2001
450000.0,4380,6350.0,0.0,1900
518500.0,1590,1102.0,0.0,2010
205425.0,880,6780.0,0.0,1945
171800.0,1570,9600.0,0.0,1950
535000.0,1610,2982.0,0.0,1925
660000.0,2400,6474.0,840.0,1964
391500.0,1450,9132.0,0.0,1987
395000.0,770,6000.0,0.0,1953
445000.0,2100,4400.0,380.0,1924
450000.0,2910,10204.0,0.0,1990
450000.0,2750,7618.5,770.0,1914
445000.0,2100,8201.0,480.0,1967
260000.0,2160,8811.0,800.0,1978
450000.0,2320,4960.0,600.0,1926
430000.0,2070,4310.0,0.0,2004
212000.0,1060,7875.0,0.0,1986
660500.0,2010,9603.0,570.0,1986
450000.0,3950,7618.5,1490.0,1989
453246.0,2010,2287.0,620.0,2014
675000.0,2140,2278.0,0.0,2005
199000.0,1320,7618.5,0.0,1956
220000.0,2020,7840.0,1010.0,1968
452000.0,2590,10002.0,1250.0,1968
382500.0,1190,4440.0,0.0,1981
519950.0,1170,1249.0,0.0,2014
665000.0,1110,3200.0,0.0,1925
527700.0,2820,9375.0,1270.0,1968
205000.0,1610,8579.0,600.0,1962
420000.0,1060,8097.0,120.0,1923
500000.0,2030,8517.0,650.0,1961
450000.0,3670,7618.5,0.0,1994
450000.0,2550,4000.0,180.0,1905
430000.0,2420,7618.5,0.0,2007
258000.0,2260,7618.5,1130.0,1960
511000.0,1430,3455.0,450.0,1947
532170.0,1360,3090.0,0.0,1990
560000.0,1110,5000.0,0.0,1947
282950.0,1250,8200.0,0.0,1954
450000.0,5180,7618.5,1640.0,2006
350000.0,700,5100.0,0.0,1942
215000.0,1180,7669.0,0.0,1967
650000.0,3960,7618.5,1460.0,1996
320000.0,2640,7500.0,1020.0,1967
247000.0,1270,7198.0,0.0,1916
320000.0,1760,11180.0,0.0,1968
255000.0,2060,8632.0,1030.0,1962
438000.0,1780,9660.0,0.0,1962
450000.0,3400,7618.5,0.0,2000
441000.0,1910,7280.0,750.0,1979
420000.0,2020,7618.5,1010.0,1975
370000.0,1580,7000.0,400.0,1976
269950.0,1340,7250.0,640.0,1949
450000.0,2680,4499.0,0.0,1999
653000.0,2680,9750.0,1070.0,1979
371500.0,1370,8336.0,0.0,1964
284000.0,1560,7618.5,0.0,1954
272000.0,2160,7140.0,490.0,1978
313000.0,1340,7912.0,0.0,1955
450000.0,3880,7618.5,1310.0,1984
673000.0,2590,8190.0,0.0,1980
425000.0,1120,1100.0,300.0,2008
399950.0,1970,5400.0,650.0,1986
385000.0,1220,4800.0,0.0,1901
269950.0,1950,7560.0,630.0,1975
330000.0,1350,8220.0,290.0,1949
260000.0,1670,5797.0,0.0,1988
470000.0,2380,5125.0,700.0,1925
589000.0,2440,9600.0,0.0,1961
163500.0,1050,3419.0,0.0,1996
450000.0,3130,7618.5,990.0,1993
